visitId,visitStartTime,visitNumber,channelGrouping,browser,operatingSystem,deviceCategory,continent,subContinent,country,transactions
1501591568,1501591568,1,Organic Search,Chrome,Windows,desktop,Europe,Southern Europe,Greece,
1501589647,1501589647,2,Referral,Chrome,Windows,desktop,Asia,Southern Asia,India,
1501616621,1501616621,1,Referral,Chrome,Windows,desktop,Europe,Northern Europe,United Kingdom,
1501601200,1501601200,1,Referral,Firefox,Windows,desktop,Americas,Northern America,United States,
1501615525,1501615525,1,Referral,Chrome,Windows,desktop,Americas,Northern America,United States,
1501610896,1501610896,1,Paid Search,Chrome,Windows,desktop,Americas,Northern America,United States,
1501589650,1501589650,1,Referral,Chrome,Windows,desktop,Asia,Southern Asia,India,
1501573710,1501573710,1,Referral,Chrome,Windows,desktop,Asia,Southern Asia,India,
1501644116,1501644116,1,Paid Search,Chrome,Macintosh,desktop,Americas,Northern America,United States,
1501574187,1501574187,1,Paid Search,Chrome,Macintosh,desktop,Americas,Northern America,United States,
1501614708,1501614708,2,Paid Search,Chrome,Macintosh,desktop,Americas,Northern America,United States,
1501625398,1501625398,1,Paid Search,Chrome,Windows,desktop,Americas,Northern America,United States,
1501636143,1501636143,1,Paid Search,Chrome,Windows,desktop,Americas,Northern America,United States,
1501617844,1501617844,2,Paid Search,Chrome,Chrome OS,desktop,Americas,Central America,Mexico,
1501583103,1501583103,1,Organic Search,Chrome,Windows,desktop,Europe,Northern Europe,United Kingdom,
1501586309,1501586309,1,Direct,Safari,Macintosh,desktop,Europe,Western Europe,Germany,
1501631547,1501631547,1,Organic Search,Chrome,Windows,desktop,Americas,Central America,Mexico,
1501599064,1501599064,1,Organic Search,Chrome,Macintosh,desktop,Europe,Western Europe,Netherlands,
1501585229,1501585229,6,Organic Search,Chrome,Chrome OS,desktop,Europe,Eastern Europe,Poland,
1501639903,1501639903,1,Organic Search,Chrome,Windows,desktop,Americas,South America,Venezuela,
1501576309,1501576309,1,Organic Search,Chrome,Macintosh,desktop,Europe,Northern Europe,United Kingdom,
1501573981,1501573981,5,Organic Search,Chrome,Windows,desktop,Europe,Eastern Europe,Russia,
1501618526,1501618526,1,Organic Search,Chrome,Windows,desktop,Americas,Northern America,United States,
1501578968,1501578968,1,Organic Search,Firefox,Windows,desktop,Europe,Eastern Europe,Slovakia,
1501599268,1501599268,1,Organic Search,Chrome,Windows,desktop,Europe,Eastern Europe,Poland,
